code,trade_date,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
00228,20260909,中能控股,0.780,0.800,0.760,0.770,0.795,-0.025,-3.14,253000,195030,
00229,20260909,利民实业,0.815,0.835,0.775,0.835,0.825,+0.010,+1.21,260000,214625,
00232,20260909,大陆航空科技控股,0.475,0.475,0.470,0.475,0.475,+0.000,+0.00,26783710,12707260,
00234,20260909,新世纪集团,0.028,0.029,0.028,0.029,0.028,+0.001,+3.57,2544000,71520,
00235,20260909,中策资本控股,0.020,0.020,0.018,0.020,0.020,+0.000,+0.00,735000,13980,
00236,20260909,香港生力啤,,,,1.080,1.080,+0.000,+0.00,,,
00237,20260909,安全货仓,,,,2.030,2.010,+0.020,+1.00,,,
00239,20260909,白花油,2.405,2.480,2.405,2.480,2.500,-0.020,-0.80,107500,260088,
00240,20260909,利基控股,1.420,1.430,1.395,1.395,1.395,+0.000,+0.00,618000,868780,
00241,20260909,阿里健康,3.125,3.140,3.040,3.050,3.140,-0.090,-2.87,81959168,250859110,
00242,20260909,信德集团,0.505,0.515,0.500,0.500,0.505,-0.005,-0.99,1252000,634820,
