"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000993","2025-05-23","CN","左侧","90.0","9.73","10.2","0.0483","否"
"	000993","2025-07-01","CN","右侧","85.0","10.0","11.98","0.198","是"
"	000993","2025-07-31","CN","左侧","70.0","10.42","11.48","0.1017","是"
"	000993","2026-01-19","CN","右侧","90.0","13.22","13.64","0.0318","否"
"	000993","2026-02-26","CN","右侧","90.0","13.07","17.27","0.3213","是"
"","","","","","","","",""
"	001202","2025-04-24","CN","左侧","70.0","16.16","17.66","0.0928","否"
"	001202","2025-05-28","CN","左侧","90.0","16.0","16.91","0.0569","否"
"	001202","2025-07-16","CN","左侧","70.0","13.38","14.85","0.1099","是"
"	001202","2026-01-05","CN","右侧","90.0","16.1","24.38","0.5143","是"
"","","","","","","","",""
"	001203","2025-04-03","CN","左侧","70.0","8.33","8.48","0.018","否"
"	001203","2025-07-07","CN","左侧","70.0","9.65","12.95","0.342","是"
"	001203","2026-01-28","CN","左侧","75.0","30.1","43.82","0.4558","是"
"","","","","","","","",""
"	001207","2025-04-02","CN","左侧","70.0","21.61","21.7","0.0042","否"
"	001207","2025-06-23","CN","左侧","70.0","23.28","26.06","0.1194","是"
"	001207","2025-12-02","CN","左侧","70.0","22.57","25.76","0.1413","是"
"	001207","2026-03-05","CN","右侧","75.0","27.6","34.33","0.2438","是"
"","","","","","","","",""
"	001208","2025-06-09","CN","右侧","75.0","10.72","11.15","0.0401","否"
"	001208","2025-10-20","CN","左侧","70.0","12.41","12.99","0.0467","否"
"	001208","2025-12-08","CN","右侧","100.0","12.79","26.63","1.0821","是"
"","","","","","","","",""
"	001209","2025-04-23","CN","右侧","100.0","17.38","19.3","0.1105","是"
"	001209","2025-06-27","CN","左侧","70.0","17.53","18.24","0.0405","否"
"	001209","2025-07-31","CN","右侧","75.0","17.99","20.68","0.1495","是"
"	001209","2025-09-10","CN","左侧","70.0","18.53","22.22","0.1991","是"
"	001209","2025-10-24","CN","左侧","70.0","19.13","30.85","0.6127","是"
"	001209","2025-12-31","CN","右侧","75.0","20.98","24.86","0.1849","是"
"","","","","","","","",""
"	001212","2025-08-04","CN","左侧","70.0","41.43","64.9","0.5665","是"
"	001212","2026-01-30","CN","左侧","70.0","50.77","57.23","0.1272","是"
"","","","","","","","",""
"	001221","2025-10-24","CN","左侧","70.0","60.98","67.25","0.1028","是"
"	001221","2026-03-09","CN","左侧","70.0","64.94","70.34","0.0832","否"
"","","","","","","","",""
"	001230","2025-09-11","CN","左侧","70.0","24.26","26.48","0.0915","否"
"	001230","2026-01-05","CN","右侧","75.0","22.17","24.49","0.1046","是"
"	001230","2026-03-13","CN","左侧","75.0","24.76","26.15","0.0561","否"
"","","","","","","","",""
"	001267","2025-05-16","CN","左侧","70.0","8.15","9.26","0.1362","是"
